label,moderator,level,k_re,n,secs,converged,singular,logLik,AIC,semXfam,semXfam_se,semXfam_z,semXfam_p,semXfam_raw,visXfam,visXfam_se,visXfam_z,visXfam_p,visXfam_raw,fam_sd,lrt_chisq,lrt_df,lrt_p,mod
arm_cn_warm,arm,L2,33,260742,431.2500436306,True,False,-425839.459303322,851758.918606644,-0.0191109112064821,0.0140540815896366,-1.3598121716167,0.173889369699257,-0.0191109112064821,-0.0206410979838436,0.0119391807812187,-1.72885379341217,0.0838352656398347,-0.0206410979838436,1.0,202.792231217725,8.0,1.64835501368358e-39,arm
arm_cn_warm,arm,L3,23,260742,346.519034147263,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_warm,arm,L4,12,260742,108.907044410706,True,False,-426040.542059859,852119.084119717,-0.0301810637424205,0.0106166356451174,-2.84280865909728,0.0044717907861828,-0.0301810637424205,-0.0031524215087166,0.0094404689684554,-0.333926367349994,0.738435122444719,-0.0031524215087166,1.0,,,,arm
arm_cn_warm,arm,L5,8,260742,86.3300585746765,True,False,-426645.496441808,853320.992883617,-0.0278808602921172,0.0103441673167724,-2.69532185997321,0.0070320668000568,-0.0278808602921172,-0.0036685065948157,0.0093765017720487,-0.391244697009655,0.695616372639079,-0.0036685065948157,1.0,1209.9087638997,4.0,1.1326351789089999e-260,arm
arm_cn_warm,arm,L6,3,260742,47.6983416080475,True,False,-427316.317186435,854652.63437287,-0.0088871474253242,0.0090112357908207,-0.986229595099165,0.324020459579439,-0.0088871474253242,-0.00638446155079,0.0084931387444999,-0.751719916847532,0.452219510389927,-0.00638446155079,1.0,1341.64148925338,5.0,6.07430421023344e-288,arm
arm_cn_young,arm,L0,63,263455,706.557144641876,True,False,-414275.577877338,828691.155754676,0.0951413654687234,0.0369441899789163,2.57527274310304,0.0100161069839864,0.0951413654687234,-0.054573585595517,0.0289082975883324,-1.88781734478696,0.0590504758488582,-0.054573585595517,1.0,,,,arm
arm_cn_young,arm,L1,41,263455,466.751160621643,True,False,-414419.130780199,828934.261560399,0.040116113910224,0.0177815469469225,2.25605308863001,0.0240673065512804,0.040116113910224,-0.0559171293761689,0.013919496255015,-4.01718053237903,5.88986022486309e-05,-0.0559171293761689,1.0,287.105805722531,22.0,4.98014780239993e-48,arm
arm_cn_young,arm,L2,33,263455,440.787338972092,True,False,-414563.249150355,829206.49830071,0.0042032546570297,0.0165127029768108,0.254546736711272,0.799073202117731,0.0042032546570297,-0.042925460834622,0.0132827327151922,-3.23167391492608,0.0012306740789831,-0.042925460834622,1.0,288.236740311142,8.0,1.30998153346937e-57,arm
arm_cn_young,arm,L3,23,263455,183.294458627701,True,False,-434093.215678586,868246.431357173,0.0906260923836725,0.0210642249530788,4.30237013635892,1.68980714507172e-05,0.0906260923836725,-0.178263760817174,0.0229692056701423,-7.76098936015447,8.42693874890506e-15,-0.178263760817174,1.0,39059.933056463,10.0,0.0,arm
arm_cn_young,arm,L4,12,263455,114.578413963318,True,False,-434561.801751533,869161.603503065,0.0616681545581036,0.0108430528769776,5.68734241710098,1.29031573732378e-08,0.0616681545581036,-0.116881219920614,0.0097601753441982,-11.9753196841994,4.78589277106941e-33,-0.116881219920614,1.0,937.1721458924,11.0,6.302769970993251e-194,arm
arm_cn_young,arm,L5,8,263455,80.2577884197235,True,False,-434969.08889795,869968.1777959,0.0662117499055288,0.0106299894238364,6.2287691234252,4.701139778193621e-10,0.0662117499055288,-0.118745857184988,0.0097055171481809,-12.2348820131902,2.02398735882964e-34,-0.118745857184988,1.0,814.574292834965,4.0,5.35063675565691e-175,arm
arm_cn_young,arm,L6,3,263455,43.3805141448975,True,False,-436742.770666724,873505.541333448,0.0245599604684617,0.0092113821152921,2.66626225696238,0.0076699834014755,0.0245599604684617,-0.106871947361605,0.0086675688600683,-12.3300949882229,6.23731551825589e-35,-0.106871947361605,1.0,3547.36353754823,5.0,0.0,arm
arm_us_charismatic,arm,L0,63,292349,1201.78225708008,False,,,,,,,,,,,,,,1.0,,,,arm
