participant,unique_sem,unique_vis,shared,total_r2
140,0.032295928243859184,0.02642441198455514,0.013009217336328538,0.07172955756474286
141,0.0075017759987702215,0.005999803863011244,0.0029881744542011868,0.016489754315982652
142,0.051162190261212825,0.03067342335353307,0.017716903944757,0.0995525175595029
143,0.0158453753013148,0.002578775205078765,0.0030376301570039788,0.021461780663397545
144,0.03619486507878056,0.05044782939218129,0.019054837503739597,0.10569753197470144
145,0.010124779690418584,0.007348849601012453,0.003845915069256356,0.021319544360687392
146,0.02424684517937048,0.024876374573200133,0.0109286013593215,0.06005182111189211
147,0.04969636050899606,0.01640671056771248,0.013014182875646818,0.07911725395235536
148,0.05562458080453225,0.015437417622443994,0.013466101425656518,0.08452809985263277
149,0.05681905490248984,0.036417139969992296,0.020318680665669553,0.11355487553815169
150,0.03611784887526537,0.04127582734143875,0.017186828365747142,0.09458050458245126
151,0.06294233404145233,0.01634612080887221,0.01479159057454682,0.09408004542487136
152,0.025795615025849483,0.0021729047547699443,0.003776610105278966,0.03174512988589839
153,0.014041634152046067,0.01267749525046391,0.005938144992440386,0.032657274394950364
154,0.06063883875316278,0.06732822382497472,0.028438290648303055,0.15640535322644056
155,0.007671887623355911,0.02730426668579433,0.006646833170132371,0.041622987479282614
156,0.009520060816374465,0.0063551916151239896,0.0034720803342954687,0.019347332765793923
157,0.005825099732560846,0.002004021973469494,-0.0010180422110938059,0.006811079494936534
158,0.02072476976178461,0.03262798167663905,0.011617254981546865,0.06497000641997053
159,0.08678451150933086,0.028366391415284742,0.0226233987458484,0.137774301670464
160,0.036387635232205895,0.008078834600945606,0.007977961702051006,0.05244443153520251
161,0.011205208305321901,0.030431724005868688,0.008378137735987612,0.0500150700471782
162,0.02062187624574019,0.007368580673372538,0.005599519731663394,0.03358997665077612
163,0.05324026156593509,0.03347178432166931,0.018862630829481364,0.10557467671708576
164,0.042133480122967026,0.0112362863041231,0.010019497363246588,0.06338926379033671
165,0.0652825115872685,0.052634427939888484,0.026107132135497646,0.14402407166265463
166,0.01344652361688392,0.03125125512896265,0.009248443919347205,0.05394622266519378
167,0.03144128870970775,0.025188982568775775,0.012534428412027787,0.06916469969051131
168,0.023792768312364543,0.03199149513754662,0.012297340633000808,0.06808160408291197
169,0.025572328245698106,0.07055740947178091,0.01928425221860408,0.1154139899360831
170,0.007475671171018883,0.03126563937438065,0.007082643738162919,0.04582395428356245
171,0.00404042079978062,0.017720710125949335,0.003930965686446908,0.025692096612176862
172,0.011242142024111001,0.010568816286425253,0.004850734708302662,0.026661693018838917
173,0.04864994017470026,0.008943681166171058,0.009825746429161564,0.06741936777003288
174,0.045448840399439194,0.0013484958161196214,0.004550345275317169,0.051347681490875985
175,0.07954118641597785,0.06357162016143136,0.0316727410509412,0.1747855476283504
176,0.003063814650320573,0.016803470370320484,0.003381775612460225,0.02324906063310128
177,0.010929404927978559,0.07462739889061687,0.013682458544632792,0.09923926236322822
178,0.03735485905977731,0.036944952521305696,0.01653065470913162,0.09083046629021463
179,0.014974622073044563,0.031728245045554826,0.009805753691063956,0.056508620809663346
180,0.07405002420932205,0.07424868429973441,0.0329947599395678,0.18129346844862426
181,0.05226486350085646,0.046159320799503356,0.021862587398542632,0.12028677169890245
182,0.00029802883781326894,0.010572073568031914,-0.0002958558777858,0.010574246528059383
183,0.0070028681237011,0.009637454808046675,0.0036627767440058356,0.02030309967575361
184,0.0364946454357683,0.02634121611700868,0.013824835537884606,0.07666069709066159
185,0.004537921647282173,0.034869173135812725,0.006085542743573424,0.04549263752666832
186,0.05686105696712396,0.0663135687828954,0.027336589189081772,0.15051121493910113
187,0.0005051909718382097,0.010426799106364015,0.0012385243660832934,0.012170514444285518
188,0.02734068502858944,0.013196354088085505,0.008539474754785892,0.049076513871460836
189,0.003509144398837649,0.0005085471946935094,-0.00036527154792165284,0.0036524200456095057
190,0.02677594671046568,0.024938488901378397,0.011499730479912373,0.06321416609175645
191,0.039502927047489145,0.030677141168988564,0.015509393799448046,0.08568946201592575
192,0.05263130376524583,0.08576701476046489,0.03003438073625786,0.16843269926196858
193,0.08934922044526705,0.08143316814367374,0.03796259775267252,0.20874498634161331
194,0.10058555303050987,0.06681965068800244,0.03659812110590699,0.2040033248244193
195,0.04827668472282032,0.04885551967569157,0.021610492004845216,0.1187426964033571
