dataset,variant,trait,target,n_pairs_dropped,dfbeta_sem,dfbeta_vis,beta_sem_full,beta_vis_full,z_sem,z_vis
cn,midpoint,practical,16,6732,0.000429523790363838,-0.007326308319345991,-0.0402190663661229,0.022731131358148533,0.11763460577185411,-1.4411028079306831
cn,midpoint,practical,17,7179,0.003995012993111939,0.0015999189828653365,-0.0402190663661229,0.022731131358148533,1.0037074275560522,0.31445774577403063
cn,midpoint,practical,18,11680,-0.006996874914427395,0.006457630461092809,-0.0402190663661229,0.022731131358148533,-1.7279270217818328,1.2698453203591065
cn,midpoint,practical,19,11516,-0.004252419526624342,-0.002388132107479214,-0.0402190663661229,0.022731131358148533,-1.0458923299204195,-0.46988987874069776
cn,midpoint,practical,20,11096,0.00045727695086965336,-0.0033591263178136405,-0.0402190663661229,0.022731131358148533,0.1245316456573946,-0.6608595992985061
cn,midpoint,practical,21,11020,0.0007969204437394892,-0.004220539849115922,-0.0402190663661229,0.022731131358148533,0.20893769795895822,-0.8302776036559717
cn,midpoint,practical,22,10456,-0.00101196544305375,-0.0037390438022825434,-0.0402190663661229,0.022731131358148533,-0.24059517981869297,-0.7355796491936167
cn,midpoint,practical,23,11341,-0.007185274036801151,0.009197930092373463,-0.0402190663661229,0.022731131358148533,-1.7747467798825487,1.8087921536776015
cn,midpoint,practical,24,10888,0.0034659965156521796,-4.186826093615509e-05,-0.0402190663661229,0.022731131358148533,0.8722395990763534,-0.008439803796486166
cn,midpoint,practical,25,10658,-0.0020954407188743668,-0.005713755678802359,-0.0402190663661229,0.022731131358148533,-0.5098536014231777,-1.123954956922065
cn,midpoint,practical,26,8500,-0.00041646127639684977,0.003687527793026918,-0.0402190663661229,0.022731131358148533,-0.09260425141334737,0.7250369921459194
cn,midpoint,practical,27,11079,-0.0031140164574451693,0.004872705963519571,-0.0402190663661229,0.022731131358148533,-0.7629836005774951,0.9581312182713705
cn,midpoint,practical,28,9753,-0.005894752054421519,0.004254612501518349,-0.0402190663661229,0.022731131358148533,-1.4540344205181428,0.836568046770762
cn,midpoint,practical,29,11397,-0.0007031000348809366,-0.0008476752802304421,-0.0402190663661229,0.022731131358148533,-0.16383790242733917,-0.1669214298044827
cn,midpoint,practical,30,8710,0.009557650607884847,-0.01821714820515271,-0.0402190663661229,0.022731131358148533,2.3860989389609393,-3.583052396812391
cn,midpoint,practical,31,10957,-0.0013355739008988066,-0.0036409695505892348,-0.0402190663661229,0.022731131358148533,-0.32101630665172237,-0.7162909528858018
cn,midpoint,practical,32,10097,0.004239131091502958,-0.0006605815173490702,-0.0402190663661229,0.022731131358148533,1.0643741131046172,-0.13012487300188477
cn,midpoint,practical,33,11192,0.0022318527792384996,-0.001793667086786837,-0.0402190663661229,0.022731131358148533,0.5655380047569775,-0.3529738171671532
cn,midpoint,practical,34,10997,0.0012060245324398144,-0.0034240554220398775,-0.0402190663661229,0.022731131358148533,0.31060565813641616,-0.6736294930405942
cn,midpoint,practical,35,11309,0.002585927619866951,-0.00158012400438216,-0.0402190663661229,0.022731131358148533,0.6535304443124332,-0.31097535585827596
cn,midpoint,practical,36,11428,0.0010906957839864964,-0.0023504566526421945,-0.0402190663661229,0.022731131358148533,0.2819448871274593,-0.46248008061261625
cn,midpoint,practical,37,11014,-0.00038110605117034485,0.0009697420482861555,-0.0402190663661229,0.022731131358148533,-0.08381799449322556,0.1905180643447111
cn,midpoint,practical,38,10607,-0.0042928473799295,0.004930757603333134,-0.0402190663661229,0.022731131358148533,-1.0559392042817748,0.969548490707321
cn,midpoint,practical,39,9920,0.006804679162835302,-0.0023171736395138295,-0.0402190663661229,0.022731131358148533,1.7019478904242455,-0.45593416339828335
cn,midpoint,practical,40,11338,0.0035049604792875833,-0.004369819677455963,-0.0402190663661229,0.022731131358148533,0.8819226768373823,-0.8596371269153293
cn,midpoint,practical,41,10555,0.002677654304873371,0.004686609213724421,-0.0402190663661229,0.022731131358148533,0.6763257798175597,0.9215307484365854
cn,midpoint,practical,42,11065,-0.0047799368114792365,0.0036750725655720767,-0.0402190663661229,0.022731131358148533,-1.1769875885376808,0.7225873675434042
cn,midpoint,practical,43,10993,-0.0006455884889566693,0.005662056562339857,-0.0402190663661229,0.022731131358148533,-0.14954549684579652,1.1133762873711448
